original_text,encrypted_text,key,cipher_type
hello world this is a test message,ifmmp xpsme uijt jt b uftu nfttbhf,1,caesar
frequency analysis is a powerful cryptanalytic technique,nzmycmvkg ivitgaqa qa i xwemznct kzgxbivitgbqk bmkpvqycm,8,caesar
machine learning can be applied to cryptanalysis,rfhmnsj qjfwsnsl hfs gj fuuqnji yt hwduyfsfqdxnx,5,caesar
hello world this is a test message,dahhk sknhz pdeo eo w paop iaoowca,22,caesar
breaking ciphers requires understanding patterns,euhdnlqj flskhuv uhtxluhv xqghuvwdqglqj sdwwhuqv,3,caesar
modern cryptography uses complex mathematical algorithms,acrsfb qfmdhcufodvm igsg qcadzsl aohvsaohwqoz ozucfwhvag,14,caesar
the quick brown fox jumps over the lazy dog,uif rvjdl cspxo gpy kvnqt pwfs uif mbaz eph,1,caesar
hello world this is a test message,olssv dvysk aopz pz h alza tlzzhnl,7,caesar
machine learning can be applied to cryptanalysis,drtyzev cvriezex tre sv rggczvu kf tipgkrercpjzj,17,caesar
modern cryptography uses complex mathematical algorithms,npefso dszquphsbqiz vtft dpnqmfy nbuifnbujdbm bmhpsjuint,1,caesar
breaking ciphers requires understanding patterns,iylhrpun jpwolyz ylxbpylz buklyzahukpun whaalyuz,7,caesar
breaking ciphers requires understanding patterns,pfsoywbu qwdvsfg fseiwfsg ibrsfghobrwbu dohhsfbg,14,caesar
machine learning can be applied to cryptanalysis,bprwxct atpgcxcv rpc qt peeaxts id rgneipcpanhxh,15,caesar
modern cryptography uses complex mathematical algorithms,vxmnaw lahycxpajyqh dbnb lxvyung vjcqnvjcrlju jupxarcqvb,9,caesar
the quick brown fox jumps over the lazy dog,sgd pthbj aqnvm enw itlor nudq sgd kzyx cnf,25,caesar
cryptography is the practice of secure communication,zovmqldoxmev fp qeb moxzqfzb lc pbzrob zljjrkfzxqflk,23,caesar
substitution ciphers replace each letter with another,dfmdetefetzy ntaspcd cpawlnp plns wpeepc htes lyzespc,11,caesar
frequency analysis is a powerful cryptanalytic technique,kwjvzjshd fsfqdxnx nx f utbjwkzq hwduyfsfqdynh yjhmsnvzj,5,caesar
machine learning can be applied to cryptanalysis,lzbghmd kdzqmhmf bzm ad zookhdc sn bqxoszmzkxrhr,25,caesar
the caesar cipher is one of the oldest encryption methods,xli geiwev gmtliv mw sri sj xli sphiwx irgvctxmsr qixlshw,4,caesar
hello world this is a test message,uryyb jbeyq guvf vf n grfg zrffntr,13,caesar
hello world this is a test message,tqxxa iadxp ftue ue m fqef yqeemsq,12,caesar
the caesar cipher is one of the oldest encryption methods,nby wuymul wcjbyl cm ihy iz nby ifxymn yhwlsjncih gynbixm,20,caesar
frequency analysis is a powerful cryptanalytic technique,htgswgpea cpcnauku ku c rqygthwn etarvcpcnavke vgejpkswg,2,caesar
vigenere cipher uses a keyword for encryption,naywfwjw uahzwj mkwk s cwqogjv xgj wfujqhlagf,18,caesar
hello world this is a test message,uryyb jbeyq guvf vf n grfg zrffntr,13,caesar
hello world this is a test message,zwddg ogjdv lzak ak s lwkl ewkksyw,18,caesar
frequency analysis is a powerful cryptanalytic technique,amzlpzixt vivgtndn dn v kjrzmapg xmtkovivgtodx ozxcidlpz,21,caesar
modern cryptography uses complex mathematical algorithms,yapqdz odkbfasdmbtk geqe oaybxqj ymftqymfuomx mxsaduftye,12,caesar
modern cryptography uses complex mathematical algorithms,tvklyu jyfwavnyhwof bzlz jvtwsle thaolthapjhs hsnvypaotz,7,caesar
hello world this is a test message,jgnnq yqtnf vjku ku c vguv oguucig,2,caesar
machine learning can be applied to cryptanalysis,lzbghmd kdzqmhmf bzm ad zookhdc sn bqxoszmzkxrhr,25,caesar
frequency analysis is a powerful cryptanalytic technique,iuhtxhqfb dqdobvlv lv d srzhuixo fubswdqdobwlf whfkqltxh,3,caesar
machine learning can be applied to cryptanalysis,qeglmri pievrmrk ger fi ettpmih xs gvctxerepcwmw,4,caesar
substitution ciphers replace each letter with another,bdkbcrcdcrxw lryqnab anyujln njlq unccna frcq jwxcqna,9,caesar
vigenere cipher uses a keyword for encryption,qdbzizmz xdkczm pnzn v fztrjmy ajm zixmtkodji,21,caesar
the caesar cipher is one of the oldest encryption methods,znk igkygx iovnkx oy utk ul znk urjkyz ktixevzout skznujy,6,caesar
the caesar cipher is one of the oldest encryption methods,ftq omqemd oubtqd ue azq ar ftq axpqef qzodkbfuaz yqftape,12,caesar
machine learning can be applied to cryptanalysis,iwydeja hawnjejc ywj xa wllheaz pk ynulpwjwhuoeo,22,caesar
frequency analysis is a powerful cryptanalytic technique,cobnrbkzv xkxivpfp fp x mltbocri zovmqxkxivqfz qbzekfnrb,23,caesar
hello world this is a test message,byffi qilfx nbcm cm u nymn gymmuay,20,caesar
cryptography is the practice of secure communication,ujqhlgyjshzq ak lzw hjsulauw gx kwumjw ugeemfauslagf,18,caesar
machine learning can be applied to cryptanalysis,sginotk rkgxtotm igt hk gvvrokj zu ixevzgtgreyoy,6,caesar
vigenere cipher uses a keyword for encryption,ivtrarer pvcure hfrf n xrljbeq sbe rapelcgvba,13,caesar
frequency analysis is a powerful cryptanalytic technique,amzlpzixt vivgtndn dn v kjrzmapg xmtkovivgtodx ozxcidlpz,21,caesar
breaking ciphers requires understanding patterns,jzmisqvo kqxpmza zmycqzma cvlmzabivlqvo xibbmzva,8,caesar
the caesar cipher is one of the oldest encryption methods,sgd bzdrzq bhogdq hr nmd ne sgd nkcdrs dmbqxoshnm ldsgncr,25,caesar
the quick brown fox jumps over the lazy dog,bpm ycqks jzwev nwf rcuxa wdmz bpm tihg lwo,8,caesar
the quick brown fox jumps over the lazy dog,esp bftnv mczhy qzi ufxad zgpc esp wlkj ozr,11,caesar
substitution ciphers replace each letter with another,bdkbcrcdcrxw lryqnab anyujln njlq unccna frcq jwxcqna,9,caesar
hello world this is a test message,olssv dvysk aopz pz h alza tlzzhnl,7,caesar
modern cryptography uses complex mathematical algorithms,jlabok zovmqldoxmev rpbp zljmibu jxqebjxqfzxi xidlofqejp,23,caesar
the caesar cipher is one of the oldest encryption methods,aol jhlzhy jpwoly pz vul vm aol vsklza lujyfwapvu tlaovkz,7,caesar
vigenere cipher uses a keyword for encryption,ivtrarer pvcure hfrf n xrljbeq sbe rapelcgvba,13,caesar
vigenere cipher uses a keyword for encryption,anljsjwj hnumjw zxjx f pjdbtwi ktw jshwduynts,5,caesar
frequency analysis is a powerful cryptanalytic technique,kwjvzjshd fsfqdxnx nx f utbjwkzq hwduyfsfqdynh yjhmsnvzj,5,caesar
machine learning can be applied to cryptanalysis,kyafglc jcyplgle ayl zc ynnjgcb rm apwnrylyjwqgq,24,caesar
breaking ciphers requires understanding patterns,tjwscafy uahzwjk jwimajwk mfvwjklsfvafy hsllwjfk,18,caesar
frequency analysis is a powerful cryptanalytic technique,dpcosclaw ylyjwqgq gq y nmucpdsj apwnrylyjwrga rcaflgosc,24,caesar
modern cryptography uses complex mathematical algorithms,acrsfb qfmdhcufodvm igsg qcadzsl aohvsaohwqoz ozucfwhvag,14,caesar
modern cryptography uses complex mathematical algorithms,zbqrea pelcgbtencul hfrf pbzcyrk zngurzngvpny nytbevguzf,13,caesar
the caesar cipher is one of the oldest encryption methods,bpm kimaiz kqxpmz qa wvm wn bpm wtlmab mvkzgxbqwv umbpwla,8,caesar
cryptography is the practice of secure communication,tipgkfxirgyp zj kyv girtkztv fw jvtliv tfddleztrkzfe,17,caesar
vigenere cipher uses a keyword for encryption,yljhqhuh flskhu xvhv d nhbzrug iru hqfubswlrq,3,caesar
the quick brown fox jumps over the lazy dog,xli uymgo fvsar jsb nyqtw sziv xli pedc hsk,4,caesar
cryptography is the practice of secure communication,xmtkojbmvkct dn ocz kmvxodxz ja nzxpmz xjhhpidxvodji,21,caesar
cryptography is the practice of secure communication,ynulpkcnwldu eo pda lnwypeya kb oayqna ykiiqjeywpekj,22,caesar
substitution ciphers replace each letter with another,movmncnoncih wcjbylm lyjfuwy yuwb fynnyl qcnb uhinbyl,20,caesar
hello world this is a test message,uryyb jbeyq guvf vf n grfg zrffntr,13,caesar
substitution ciphers replace each letter with another,movmncnoncih wcjbylm lyjfuwy yuwb fynnyl qcnb uhinbyl,20,caesar
vigenere cipher uses a keyword for encryption,mzxveviv tzgyvi ljvj r bvpnfiu wfi vetipgkzfe,17,caesar
frequency analysis is a powerful cryptanalytic technique,xjwimwfuq sfsdqkak ak s hgowjxmd ujqhlsfsdqlau lwuzfaimw,18,caesar
the quick brown fox jumps over the lazy dog,pda mqeyg xnksj bkt fqilo kran pda hwvu zkc,22,caesar
hello world this is a test message,dahhk sknhz pdeo eo w paop iaoowca,22,caesar
breaking ciphers requires understanding patterns,aqdzjhmf bhogdqr qdpthqdr tmcdqrszmchmf ozssdqmr,25,caesar
frequency analysis is a powerful cryptanalytic technique,eqdptdmbx zmzkxrhr hr z onvdqetk bqxoszmzkxshb sdbgmhptd,25,caesar
