original_text,encrypted_text,key,cipher_type
hello world this is a test message,lummz hzcmv dlor or s durd turrsfu,sqkvugflojymtpzbncrdewhixa,substitution
modern cryptography uses complex mathematical algorithms,obhtgr mgadzbqgcdya kete mbodxtf oczytoczsmcx cxqbgszyoe,cvmhtpqysjlxorbdugezknwfai,substitution
breaking ciphers requires understanding patterns,ahmkefdq ofxpmhb hmzgfhmb gdimhbckdifdq xkccmhdb,kaoimwqpfreyvdnxzhbcgsltuj,substitution
modern cryptography uses complex mathematical algorithms,znqbxt sxfkmncxpkgf oibi snzkabr zpmgbzpmvspa pacnxvmgzi,pesqbjcgvldaztnkwximoyhrfu,substitution
substitution ciphers replace each letter with another,thltrarhrafd pamjgwt wgmsvpg gvpj sgrrgw iarj vdfrjgw,vlpqgykjabzscdfmnwtrhxieou,substitution
substitution ciphers replace each letter with another,drsdanaranbe fnklpud upkczfp pzfl cpaapu qnal zebalpu,zsfxpjwlnyhcgebkvudariqotm,substitution
cryptography is the practice of secure communication,cdyjpzgdnjxy hw pxi jdncphci ze wickdi czookshcnphzs,nmcfiegxhubvoszjldwpktaqyr,substitution
breaking ciphers requires understanding patterns,sjxwdpya cplzxju jxmgpjxu gyvxjurwyvpya lwrrxjyu,wscvxeazpkdboyhlmjurgntqif,substitution
the quick brown fox jumps over the lazy dog,ylf qzmai jxebs neu rzpvk ehfx ylf docw teg,ojatfnglmridpsevqxkyzhbuwc,substitution
substitution ciphers replace each letter with another,vufvdgdudgpw egtjsmv mstizes szej isddsm ogdj zwpdjsm,zfeasrqjgchixwptkmvduboynl,substitution
the quick brown fox jumps over the lazy dog,nvi gfekt jsocx doa lfwmp ohis nvi qbur zoy,bjkzidyveltqwxomgspnfhcaru,substitution
frequency analysis is a powerful cryptanalytic technique,opeqkeilb zizcbtut ut z farepokc lpbfvzizcbvul veldiuqke,zwlneohdujmcxiafqptvkyrsbg,substitution
modern cryptography uses complex mathematical algorithms,zedxgr mgnhkeygbhfn qixi mezhuxv zbkfxzbkpmbu buyegpkfzi,bjmdxayfpoluzrehtgikqwsvnc,substitution
hello world this is a test message,atzzs isuzo camh mh y cthc wthhypt,ybdotkpamxvzwnsfjuhcleiqgr,substitution
hello world this is a test message,lyaap epkaf tlmg mg z tygt wyggzny,zoufycnlmqbawhpvskgtjierxd,substitution
breaking ciphers requires understanding patterns,objqfkui hktvjbx bjlckbjx cuyjbxequykui tqeejbux,qohyjsivkmfpzugtlbxecdarnw,substitution
modern cryptography uses complex mathematical algorithms,myqdkc skezayrkozpe nvdv symzldh moapdmoatsol olryktapmv,oisqdjrptgblmcyzukvanwfhex,substitution
machine learning can be applied to cryptanalysis,sdrteno fodlnenp rdn jo dwwfeox cy rlvwcdndfvueu,djrxohptebzfsnywqlucikmgva,substitution
the caesar cipher is one of the oldest encryption methods,mzc jpcspg jfbzcg fs lrc ly mzc lvecsm crjgkbmflr acmzles,phjecywzfuovarlbigsmdqtnkx,substitution
frequency analysis is a powerful cryptanalytic technique,aeugmuzfj dzdljrsr sr d wxnueaml fejwydzdljysf yufpzsgmu,dbfhuaipstclozxwgerymknvjq,substitution
