original_text,encrypted_text,key,cipher_type
hello world this is a test message,rijvs gspvh dlgc gc y xccx wiqceeo,key,vigenere
frequency analysis is a powerful cryptanalytic technique,xvghyxfga egspajml mu e hsyvvymp tvrhxceeeqxkt mwgjemjmi,secret,vigenere
machine learning can be applied to cryptanalysis,eeeymgw nvekfmpx vsr si strcmxv vf vjcrkegspajml,secret,vigenere
hello world this is a test message,omoos dwuoh aplv vz d xrzb pifzijh,hidden,vigenere
breaking ciphers requires understanding patterns,lvckogxk mmnripc poussvcc sxhcbwrkrbsre tydxcbrq,key,vigenere
modern cryptography uses complex mathematical algorithms,ofbtkb tpnihqxppiva shxg tmbizgo bthjvkpmwerj tzifpxmvoj,crypto,vigenere
the quick brown fox jumps over the lazy dog,dlc ussgi fpyal jmh heqnc mfip xfo jkdw hmq,key,vigenere
hello world this is a test message,zincs ostch llkj bk c xxkx dilkeiv,secret,vigenere
machine learning can be applied to cryptanalysis,eeebzrw nyrvfmpa gsr vv strfziv vi gjcrnrrspamzw,secure,vigenere
modern cryptography uses complex mathematical algorithms,wsbovl gpitrykpktfi sciq gmwtjob werrikkxgmej ejqspsxfww,key,vigenere
breaking ciphers requires understanding patterns,tvgrobfk tmizitj kwuwzvxk wehxjwvrrwari ttlxgirl,secret,vigenere
breaking ciphers requires understanding patterns,dicpdwpx rbdjvph fghsxksu scwstjrpgrkee iovkcggg,crypto,vigenere
machine learning can be applied to cryptanalysis,orawbbg jttfpzlv qce qx cgnabsf rd qtpnitbccwhbg,crypto,vigenere
modern cryptography uses complex mathematical algorithms,bovwnb fgyhlkuidehq qgvv cgelzva msldsddiiush rovojapvdv,password,vigenere
the quick brown fox jumps over the lazy dog,vvh silgm evqkq hca liptu rzgf xjs pcnb fcj,code,vigenere
cryptography is the practice of secure communication,jzbsxbnzdsll qv xul suepaqfh bm vhghym fsztcqlgnaqrq,hidden,vigenere
substitution ciphers replace each letter with another,hutkpwkxiigf qzswejk fvsaauw srfw dwphvu wald rqdtzwn,password,vigenere
frequency analysis is a powerful cryptanalytic technique,xvghyxfga egspajml mu e hsyvvymp tvrhxceeeqxkt mwgjemjmi,secret,vigenere
machine learning can be applied to cryptanalysis,ooflkbh nsdvpwqk qdr ph cdspksg vc gtmsxcbdpaglw,code,vigenere
the caesar cipher is one of the oldest encryption methods,dlc gyowyb astfov sw yrc sd xfo mvhccx orabcndmmx koxfyhq,key,vigenere
hello world this is a test message,jvjah yfpaw vygh wu y msuk bxguret,crypto,vigenere
hello world this is a test message,weddk nrglv pvzv ik w khht eagjdve,password,vigenere
the caesar cipher is one of the oldest encryption methods,llg tewwcl gatjyi aw iei sh klw qfuikx yegjcrnzsf oyklghu,secure,vigenere
frequency analysis is a powerful cryptanalytic technique,hfhuwsqga drczbwkg mu d rczittxp qucrhdrczbxkq xgqkrkexi,code,vigenere
the quick brown fox jumps over the lazy dog,aph uhpkn feveq jbe mxqcz ryie bkh yhhb hbn,hidden,vigenere
vigenere cipher uses a keyword for encryption,nmiyeiji wztzit lwww u owcyiih jql ifgtsgxasp,secure,vigenere
hello world this is a test message,jvjah yfpaw vygh wu y msuk bxguret,crypto,vigenere
hello world this is a test message,zinff ostfu llkm mk c kikx gvwkeiy,secure,vigenere
frequency analysis is a powerful cryptanalytic technique,hfhuwsqga drczbwkg mu d rczittxp qucrhdrczbxkq xgqkrkexi,code,vigenere
modern cryptography uses complex mathematical algorithms,ocgitb gtmsxquuervb wghw qrqrzhb adxjspevwfen dpicumvvpw,code,vigenere
the caesar cipher is one of the oldest encryption methods,llg tewwcl gatjyi aw iei sh klw qfuikx yegjcrnzsf oyklghu,secure,vigenere
machine learning can be applied to cryptanalysis,tifkmal oheeuqqj phv ei hxsomrk wr pygsweahtbvmf,hidden,vigenere
hello world this is a test message,rijvs gspvh dlgc gc y xccx wiqceeo,key,vigenere
machine learning can be applied to cryptanalysis,ooflkbh nsdvpwqk qdr ph cdspksg vc gtmsxcbdpaglw,code,vigenere
frequency analysis is a powerful cryptanalytic technique,pvcaycxgw elkpwcmq mq e zsuovdep mvwzxyxejixgm rogfxmoei,key,vigenere
machine learning can be applied to cryptanalysis,ooflkbh nsdvpwqk qdr ph cdspksg vc gtmsxcbdpaglw,code,vigenere
hello world this is a test message,jvjah yfpaw vygh wu y msuk bxguret,crypto,vigenere
frequency analysis is a powerful cryptanalytic technique,hicfnsptw tbccwhbg zq t rfutktwc rkmrkyctzakgr hgtfcbewv,crypto,vigenere
the caesar cipher is one of the oldest encryption methods,llg gtwwci vatjvv aw frx sh xaw qchxkx vrvjcrkmhf ovxaghu,secret,vigenere
the caesar cipher is one of the oldest encryption methods,ihw yovvpr uedyhg ak ceh ox pvv dlvwoh hccjqlhzrc ewpvfgh,password,vigenere
machine learning can be applied to cryptanalysis,tifkmal oheeuqqj phv ei hxsomrk wr pygsweahtbvmf,hidden,vigenere
frequency analysis is a powerful cryptanalytic technique,mzhtyrukb eahtbvmf qv e wwzhvsbt fvlwbdqeyfblf glkkqmdbm,hidden,vigenere
hello world this is a test message,zinff ostfu llkm mk c kikx gvwkeiy,secure,vigenere
cryptography is the practice of secure communication,uvajksyvcjyc mu klw rlrglmey sx uytyji wfqeypctelmqh,secure,vigenere
machine learning can be applied to cryptanalysis,eeeymgw nvekfmpx vsr si strcmxv vf vjcrkegspajml,secret,vigenere
vigenere cipher uses a keyword for encryption,xzetgstv rbdjvp nggj p ygpudkr wmg sptpnihkfl,crypto,vigenere
frequency analysis is a powerful cryptanalytic technique,mzhtyrukb eahtbvmf qv e wwzhvsbt fvlwbdqeyfblf glkkqmdbm,hidden,vigenere
breaking ciphers requires understanding patterns,tvgrobfk tmizitj kwuwzvxk wehxjwvrrwari ttlxgirl,secret,vigenere
the caesar cipher is one of the oldest encryption methods,vvh eohwcf gkdkit lw cqi ci vvh qzgiuh ipqucrhlsp pivvrhu,code,vigenere
the quick brown fox jumps over the lazy dog,llg unagm fkgap jhp llqik qmik xjv esda hhy,secret,vigenere
the quick brown fox jumps over the lazy dog,vvh silgm evqkq hca liptu rzgf xjs pcnb fcj,code,vigenere
the caesar cipher is one of the oldest encryption methods,vyc vogjyg qkgftk kj dgs fd mvg mawsuk tgqtpnibcp ktmvquq,crypto,vigenere
frequency analysis is a powerful cryptanalytic technique,pvcaycxgw elkpwcmq mq e zsuovdep mvwzxyxejixgm rogfxmoei,key,vigenere
machine learning can be applied to cryptanalysis,eeebzrw nyrvfmpa gsr vv strfziv vi gjcrnrrspamzw,secure,vigenere
the caesar cipher is one of the oldest encryption methods,llg gtwwci vatjvv aw frx sh xaw qchxkx vrvjcrkmhf ovxaghu,secret,vigenere
vigenere cipher uses a keyword for encryption,xzetgstv rbdjvp nggj p ygpudkr wmg sptpnihkfl,crypto,vigenere
vigenere cipher uses a keyword for encryption,nmivrxji tmizit ylww r dwcyfvw jqi xfgtptmasp,secret,vigenere
frequency analysis is a powerful cryptanalytic technique,xvghyxfga egspajml mu e hsyvvymp tvrhxceeeqxkt mwgjemjmi,secret,vigenere
machine learning can be applied to cryptanalysis,tifkmal oheeuqqj phv ei hxsomrk wr pygsweahtbvmf,hidden,vigenere
breaking ciphers requires understanding patterns,tvgubmfk wztzitm vwuwciik whuijwvuehari gelxglew,secure,vigenere
frequency analysis is a powerful cryptanalytic technique,mzhtyrukb eahtbvmf qv e wwzhvsbt fvlwbdqeyfblf glkkqmdbm,hidden,vigenere
modern cryptography uses complex mathematical algorithms,ofbtkb tpnihqxppiva shxg tmbizgo bthjvkpmwerj tzifpxmvoj,crypto,vigenere
modern cryptography uses complex mathematical algorithms,ofbtkb tpnihqxppiva shxg tmbizgo bthjvkpmwerj tzifpxmvoj,crypto,vigenere
the caesar cipher is one of the oldest encryption methods,llg gtwwci vatjvv aw frx sh xaw qchxkx vrvjcrkmhf ovxaghu,secret,vigenere
cryptography is the practice of secure communication,uvajksyvcjyc mu klw rlrglmey sx uytyji wfqeypctelmqh,secure,vigenere
vigenere cipher uses a keyword for encryption,fmeorcbi mmnrip yqow k iocuyvb jmb cxgpitrssl,key,vigenere
the quick brown fox jumps over the lazy dog,vvh silgm evqkq hca liptu rzgf xjs pcnb fcj,code,vigenere
hello world this is a test message,zincs ostch llkj bk c xxkx dilkeiv,secret,vigenere
cryptography is the practice of secure communication,efbtvcjvcdkc wv vvh rfdgvwfi ci usfyts gqapypwfevwrr,code,vigenere
substitution ciphers replace each letter with another,kydmkmlyvcfr gkjyijw lvtdeey isgj cilxgl aaxj rrgxjyi,secure,vigenere
hello world this is a test message,jvjah yfpaw vygh wu y msuk bxguret,crypto,vigenere
substitution ciphers replace each letter with another,kydmkmlyvcfr gkjyijw lvtdeey isgj cilxgl aaxj rrgxjyi,secure,vigenere
vigenere cipher uses a keyword for encryption,nmiyeiji wztzit lwww u owcyiih jql ifgtsgxasp,secure,vigenere
frequency analysis is a powerful cryptanalytic technique,xvgklifga rrspamzw mu r hsyyijmp wichxchrpqxkw xwgjhzumi,secure,vigenere
the quick brown fox jumps over the lazy dog,aph uhpkn feveq jbe mxqcz ryie bkh yhhb hbn,hidden,vigenere
hello world this is a test message,omoos dwuoh aplv vz d xrzb pifzijh,hidden,vigenere
breaking ciphers requires understanding patterns,dfhemwqk qltjsuw fhuwwuiu xrfsuwvoqhkbj rowxgfqw,code,vigenere
frequency analysis is a powerful cryptanalytic technique,hfhuwsqga drczbwkg mu d rczittxp qucrhdrczbxkq xgqkrkexi,code,vigenere
the caesar cipher is one of the oldest encryption methods,dlc gyowyb astfov sw yrc sd xfo mvhccx orabcndmmx koxfyhq,key,vigenere
frequency analysis is a powerful cryptanalytic technique,hicfnsptw tbccwhbg zq t rfutktwc rkmrkyctzakgr hgtfcbewv,crypto,vigenere
cryptography is the practice of secure communication,eiwemciiyeam zq mvg ngtqvzat ch qtvitv rhaollxvovzmc,crypto,vigenere
the quick brown fox jumps over the lazy dog,aph uhpkn feveq jbe mxqcz ryie bkh yhhb hbn,hidden,vigenere
frequency analysis is a powerful cryptanalytic technique,xvgklifga rrspamzw mu r hsyyijmp wichxchrpqxkw xwgjhzumi,secure,vigenere
cryptography is the practice of secure communication,uvajksyvcjyc mu klw rlrglmey sx uytyji wfqeypctelmqh,secure,vigenere
hello world this is a test message,jsopq zstzg vvlw wv c wiuh qggveis,code,vigenere
frequency analysis is a powerful cryptanalytic technique,hfhuwsqga drczbwkg mu d rczittxp qucrhdrczbxkq xgqkrkexi,code,vigenere
breaking ciphers requires understanding patterns,tvgubmfk wztzitm vwuwciik whuijwvuehari gelxglew,secure,vigenere
machine learning can be applied to cryptanalysis,eeeymgw nvekfmpx vsr si strcmxv vf vjcrkegspajml,secret,vigenere
the caesar cipher is one of the oldest encryption methods,vvh eohwcf gkdkit lw cqi ci vvh qzgiuh ipqucrhlsp pivvrhu,code,vigenere
cryptography is the practice of secure communication,uvajksyvcjyc mu klw rlrglmey sx uytyji wfqeypctelmqh,secure,vigenere
breaking ciphers requires understanding patterns,lvckogxk mmnripc poussvcc sxhcbwrkrbsre tydxcbrq,key,vigenere
modern cryptography uses complex mathematical algorithms,bovwnb fgyhlkuidehq qgvv cgelzva msldsddiiush rovojapvdv,password,vigenere
vigenere cipher uses a keyword for encryption,fmeorcbi mmnrip yqow k iocuyvb jmb cxgpitrssl,key,vigenere
hello world this is a test message,weddk nrglv pvzv ik w khht eagjdve,password,vigenere
frequency analysis is a powerful cryptanalytic technique,xvghyxfga egspajml mu e hsyvvymp tvrhxceeeqxkt mwgjemjmi,secret,vigenere
the quick brown fox jumps over the lazy dog,llg unagm fkgap jhp llqik qmik xjv esda hhy,secret,vigenere
modern cryptography uses complex mathematical algorithms,wsbovl gpitrykpktfi sciq gmwtjob werrikkxgmej ejqspsxfww,key,vigenere
hello world this is a test message,omoos dwuoh aplv vz d xrzb pifzijh,hidden,vigenere
vigenere cipher uses a keyword for encryption,xwjipsui qltjsu wghw o ogmzstr jqf ipqucrhlsp,code,vigenere
hello world this is a test message,jsopq zstzg vvlw wv c wiuh qggveis,code,vigenere
breaking ciphers requires understanding patterns,dfhemwqk qltjsuw fhuwwuiu xrfsuwvoqhkbj rowxgfqw,code,vigenere
cryptography is the practice of secure communication,uvagxhyvcglr mu xaw rievlmev hx uvgnji tsfeypzgtlmqe,secret,vigenere
vigenere cipher uses a keyword for encryption,nmiyeiji wztzit lwww u owcyiih jql ifgtsgxasp,secure,vigenere
cryptography is the practice of secure communication,rrqhpcxuppzq wj ihw lfrfiiuw cw heumns fdmemjwtdiigf,password,vigenere
breaking ciphers requires understanding patterns,dfhemwqk qltjsuw fhuwwuiu xrfsuwvoqhkbj rowxgfqw,code,vigenere
modern cryptography uses complex mathematical algorithms,ofbtkb tpnihqxppiva shxg tmbizgo bthjvkpmwerj tzifpxmvoj,crypto,vigenere
machine learning can be applied to cryptanalysis,eeebzrw nyrvfmpa gsr vv strfziv vi gjcrnrrspamzw,secure,vigenere
machine learning can be applied to cryptanalysis,tifkmal oheeuqqj phv ei hxsomrk wr pygsweahtbvmf,hidden,vigenere
frequency analysis is a powerful cryptanalytic technique,hicfnsptw tbccwhbg zq t rfutktwc rkmrkyctzakgr hgtfcbewv,crypto,vigenere
the caesar cipher is one of the oldest encryption methods,vyc vogjyg qkgftk kj dgs fd mvg mawsuk tgqtpnibcp ktmvquq,crypto,vigenere
breaking ciphers requires understanding patterns,dicpdwpx rbdjvph fghsxksu scwstjrpgrkee iovkcggg,crypto,vigenere
hello world this is a test message,zincs ostch llkj bk c xxkx dilkeiv,secret,vigenere
machine learning can be applied to cryptanalysis,wearmlo joepxmlq akr li ktnvmcn ry abcndelkpwcmq,key,vigenere
the caesar cipher is one of the oldest encryption methods,dlc gyowyb astfov sw yrc sd xfo mvhccx orabcndmmx koxfyhq,key,vigenere
modern cryptography uses complex mathematical algorithms,esfyir gtsgxgktuglq wmvw gqggpwb grxzioukmuen rpystcklew,secure,vigenere
machine learning can be applied to cryptanalysis,eeebzrw nyrvfmpa gsr vv strfziv vi gjcrnrrspamzw,secure,vigenere
machine learning can be applied to cryptanalysis,wearmlo joepxmlq akr li ktnvmcn ry abcndelkpwcmq,key,vigenere
hello world this is a test message,omoos dwuoh aplv vz d xrzb pifzijh,hidden,vigenere
the quick brown fox jumps over the lazy dog,llg unagm fkgap jhp llqik qmik xjv esda hhy,secret,vigenere
hello world this is a test message,rijvs gspvh dlgc gc y xccx wiqceeo,key,vigenere
the caesar cipher is one of the oldest encryption methods,dlc gyowyb astfov sw yrc sd xfo mvhccx orabcndmmx koxfyhq,key,vigenere
breaking ciphers requires understanding patterns,tvgrobfk tmizitj kwuwzvxk wehxjwvrrwari ttlxgirl,secret,vigenere
frequency analysis is a powerful cryptanalytic technique,mzhtyrukb eahtbvmf qv e wwzhvsbt fvlwbdqeyfblf glkkqmdbm,hidden,vigenere
vigenere cipher uses a keyword for encryption,nmivrxji tmizit ylww r dwcyfvw jqi xfgtptmasp,secret,vigenere
breaking ciphers requires understanding patterns,tvgrobfk tmizitj kwuwzvxk wehxjwvrrwari ttlxgirl,secret,vigenere
modern cryptography uses complex mathematical algorithms,esfyir gtsgxgktuglq wmvw gqggpwb grxzioukmuen rpystcklew,secure,vigenere
vigenere cipher uses a keyword for encryption,nmivrxji tmizit ylww r dwcyfvw jqi xfgtptmasp,secret,vigenere
vigenere cipher uses a keyword for encryption,xwjipsui qltjsu wghw o ogmzstr jqf ipqucrhlsp,code,vigenere
substitution ciphers replace each letter with another,kydjxblyvzsg gkglxjw iiideev xsgj pxlxgi paxj eggxjvv,secret,vigenere
hello world this is a test message,rijvs gspvh dlgc gc y xccx wiqceeo,key,vigenere
substitution ciphers replace each letter with another,hutkpwkxiigf qzswejk fvsaauw srfw dwphvu wald rqdtzwn,password,vigenere
substitution ciphers replace each letter with another,ulzhmwvlrxhb tgeastj gxdnrat sctf esvkcg kkkf tbqkftk,crypto,vigenere
vigenere cipher uses a keyword for encryption,xwjipsui qltjsu wghw o ogmzstr jqf ipqucrhlsp,code,vigenere
the quick brown fox jumps over the lazy dog,aph uhpkn feveq jbe mxqcz ryie bkh yhhb hbn,hidden,vigenere
hello world this is a test message,rijvs gspvh dlgc gc y xccx wiqceeo,key,vigenere
substitution ciphers replace each letter with another,zcevxvacwlsa klslrya uicsifh rhkk prabhu jpbk eavbkhv,hidden,vigenere
the caesar cipher is one of the oldest encryption methods,vvh eohwcf gkdkit lw cqi ci vvh qzgiuh ipqucrhlsp pivvrhu,code,vigenere
hello world this is a test message,zincs ostch llkj bk c xxkx dilkeiv,secret,vigenere
machine learning can be applied to cryptanalysis,eeeymgw nvekfmpx vsr si strcmxv vf vjcrkegspajml,secret,vigenere
breaking ciphers requires understanding patterns,dicpdwpx rbdjvph fghsxksu scwstjrpgrkee iovkcggg,crypto,vigenere
cryptography is the practice of secure communication,eiwemciiyeam zq mvg ngtqvzat ch qtvitv rhaollxvovzmc,crypto,vigenere
cryptography is the practice of secure communication,rrqhpcxuppzq wj ihw lfrfiiuw cw heumns fdmemjwtdiigf,password,vigenere
vigenere cipher uses a keyword for encryption,nmivrxji tmizit ylww r dwcyfvw jqi xfgtptmasp,secret,vigenere
hello world this is a test message,jvjah yfpaw vygh wu y msuk bxguret,crypto,vigenere
breaking ciphers requires understanding patterns,lvckogxk mmnripc poussvcc sxhcbwrkrbsre tydxcbrq,key,vigenere
the quick brown fox jumps over the lazy dog,aph uhpkn feveq jbe mxqcz ryie bkh yhhb hbn,hidden,vigenere
breaking ciphers requires understanding patterns,dfhemwqk qltjsuw fhuwwuiu xrfsuwvoqhkbj rowxgfqw,code,vigenere
the quick brown fox jumps over the lazy dog,dlc ussgi fpyal jmh heqnc mfip xfo jkdw hmq,key,vigenere
machine learning can be applied to cryptanalysis,eeeymgw nvekfmpx vsr si strcmxv vf vjcrkegspajml,secret,vigenere
substitution ciphers replace each letter with another,ulzhmwvlrxhb tgeastj gxdnrat sctf esvkcg kkkf tbqkftk,crypto,vigenere
vigenere cipher uses a keyword for encryption,nmivrxji tmizit ylww r dwcyfvw jqi xfgtptmasp,secret,vigenere
substitution ciphers replace each letter with another,cyzcxgdyrssl ggzlcbw binveao ckgf pcdxcb usxf elyxfov,key,vigenere
cryptography is the practice of secure communication,eiwemciiyeam zq mvg ngtqvzat ch qtvitv rhaollxvovzmc,crypto,vigenere
the quick brown fox jumps over the lazy dog,vyc jikti ufqnl ycz hjfdu mkxf kft zcqw wci,crypto,vigenere
frequency analysis is a powerful cryptanalytic technique,hfhuwsqga drczbwkg mu d rczittxp qucrhdrczbxkq xgqkrkexi,code,vigenere
vigenere cipher uses a keyword for encryption,kiywjsih cahdsi jswk o ntyognr idr wjqibetagj,password,vigenere
